[startup] Initializing environment...
[startup] Environment initialized in 0.0s
[startup] Resetting environment and loading checkpoint...
[startup] Checkpoint loaded in 5.5s
[startup] Loading evaluation goal...
Using badge-success goal: /home/yeonlife/rl_project/PokemonofflineRL/offline_trajectories/trajectory_seed_000.npz (step 8081)
[startup] Evaluation goal loaded in 0.2s
Checkpoint: /home/yeonlife/rl_project/PokemonofflineRL/checkpoints/hiql_0804/hiql_10000.msgpack
Evaluating 300 episodes (max 50000 steps each, logging every 1000 steps)
[startup] Ready in 5.6s. The first policy call may include JAX compilation time.
[episode 1/300] resetting environment...
[episode 1/300] started (reset=0.0s, max_steps=50,000)
[episode 2/300 | step 25,000/50,000] return=70.200 badges=[0, 0, 0, 0, 0, 0, 0, 0] position=(x=4, y=31, map=12)
[episode 2/300 | step 26,000/50,000] return=70.150 badges=[0, 0, 0, 0, 0, 0, 0, 0] position=(x=4, y=28, map=12)
[episode 2/300 | step 27,000/50,000] return=70.200 badges=[0, 0, 0, 0, 0, 0, 0, 0] position=(x=5, y=28, map=12)
[episode 2/300 | step 28,000/50,000] return=70.939 badges=[0, 0, 0, 0, 0, 0, 0, 0] position=(x=2, y=7, map=37)
[episode 2/300 | step 29,000/50,000] return=71.839 badges=[0, 0, 0, 0, 0, 0, 0, 0] position=(x=2, y=7, map=37)
[episode 2/300 | step 30,000/50,000] return=71.839 badges=[0, 0, 0, 0, 0, 0, 0, 0] position=(x=8, y=13, map=0)
[episode 2/300 | step 31,000/50,000] return=71.839 badges=[0, 0, 0, 0, 0, 0, 0, 0] position=(x=15, y=12, map=0)
[episode 2/300 | step 32,000/50,000] return=71.939 badges=[0, 0, 0, 0, 0, 0, 0, 0] position=(x=13, y=6, map=0)
[episode 2/300 | step 33,000/50,000] return=71.939 badges=[0, 0, 0, 0, 0, 0, 0, 0] position=(x=3, y=17, map=0)
[episode 2/300 | step 34,000/50,000] return=71.939 badges=[0, 0, 0, 0, 0, 0, 0, 0] position=(x=2, y=7, map=37)
[episode 2/300 | step 35,000/50,000] return=72.039 badges=[0, 0, 0, 0, 0, 0, 0, 0] position=(x=9, y=13, map=0)
