saved offline_trajectories/trajectory_seed_090.npz | steps=50000 | badges=[0 0 0 0 0 0 0 0]
saved offline_trajectories/trajectory_seed_091.npz | steps=50000 | badges=[0 0 0 0 0 0 0 0]
saved offline_trajectories/trajectory_seed_092.npz | steps=50000 | badges=[0 0 0 0 0 0 0 0]
saved offline_trajectories/trajectory_seed_093.npz | steps=8503 | badges=[0 0 0 0 0 0 0 1]
saved offline_trajectories/trajectory_seed_094.npz | steps=50000 | badges=[0 0 0 0 0 0 0 0]
saved offline_trajectories/trajectory_seed_095.npz | steps=39286 | badges=[0 0 0 0 0 0 0 1]
saved offline_trajectories/trajectory_seed_096.npz | steps=50000 | badges=[0 0 0 0 0 0 0 0]
saved offline_trajectories/trajectory_seed_097.npz | steps=10716 | badges=[0 0 0 0 0 0 0 1]
saved offline_trajectories/trajectory_seed_098.npz | steps=50000 | badges=[0 0 0 0 0 0 0 0]
saved offline_trajectories/trajectory_seed_099.npz | steps=13811 | badges=[0 0 0 0 0 0 0 1]
saved offline_trajectories/trajectory_seed_100.npz | steps=50000 | badges=[0 0 0 0 0 0 0 0]
saved offline_trajectories/trajectory_seed_101.npz | steps=14075 | badges=[0 0 0 0 0 0 0 1]
saved offline_trajectories/trajectory_seed_102.npz | steps=50000 | badges=[0 0 0 0 0 0 0 0]
saved offline_trajectories/trajectory_seed_103.npz | steps=50000 | badges=[0 0 0 0 0 0 0 0]
saved offline_trajectories/trajectory_seed_104.npz | steps=18196 | badges=[0 0 0 0 0 0 0 1]
saved offline_trajectories/trajectory_seed_105.npz | steps=50000 | badges=[0 0 0 0 0 0 0 0]
saved offline_trajectories/trajectory_seed_106.npz | steps=19562 | badges=[0 0 0 0 0 0 0 1]
saved offline_trajectories/trajectory_seed_107.npz | steps=50000 | badges=[0 0 0 0 0 0 0 0]
saved offline_trajectories/trajectory_seed_108.npz | steps=22792 | badges=[0 0 0 0 0 0 0 1]
saved offline_trajectories/trajectory_seed_109.npz | steps=15209 | badges=[0 0 0 0 0 0 0 1]
saved offline_trajectories/trajectory_seed_110.npz | steps=27780 | badges=[0 0 0 0 0 0 0 1]
saved offline_trajectories/trajectory_seed_111.npz | steps=50000 | badges=[0 0 0 0 0 0 0 0]
saved offline_trajectories/trajectory_seed_112.npz | steps=27390 | badges=[0 0 0 0 0 0 0 1]
saved offline_trajectories/trajectory_seed_113.npz | steps=11101 | badges=[0 0 0 0 0 0 0 1]
saved offline_trajectories/trajectory_seed_114.npz | steps=50000 | badges=[0 0 0 0 0 0 0 0]
saved offline_trajectories/trajectory_seed_115.npz | steps=12647 | badges=[0 0 0 0 0 0 0 1]
saved offline_trajectories/trajectory_seed_116.npz | steps=13120 | badges=[0 0 0 0 0 0 0 1]
saved offline_trajectories/trajectory_seed_117.npz | steps=19343 | badges=[0 0 0 0 0 0 0 1]
saved offline_trajectories/trajectory_seed_118.npz | steps=7542 | badges=[0 0 0 0 0 0 0 1]
saved offline_trajectories/trajectory_seed_119.npz | steps=50000 | badges=[0 0 0 0 0 0 0 0]
saved offline_trajectories/trajectory_seed_120.npz | steps=50000 | badges=[0 0 0 0 0 0 0 0]
saved offline_trajectories/trajectory_seed_121.npz | steps=50000 | badges=[0 0 0 0 0 0 0 0]
saved offline_trajectories/trajectory_seed_122.npz | steps=50000 | badges=[0 0 0 0 0 0 0 0]
saved offline_trajectories/trajectory_seed_123.npz | steps=50000 | badges=[0 0 0 0 0 0 0 0]
saved offline_trajectories/trajectory_seed_124.npz | steps=50000 | badges=[0 0 0 0 0 0 0 0]
saved offline_trajectories/trajectory_seed_125.npz | steps=9094 | badges=[0 0 0 0 0 0 0 1]
saved offline_trajectories/trajectory_seed_126.npz | steps=9252 | badges=[0 0 0 0 0 0 0 1]
saved offline_trajectories/trajectory_seed_127.npz | steps=13000 | badges=[0 0 0 0 0 0 0 1]
saved offline_trajectories/trajectory_seed_128.npz | steps=25794 | badges=[0 0 0 0 0 0 0 1]
saved offline_trajectories/trajectory_seed_129.npz | steps=50000 | badges=[0 0 0 0 0 0 0 0]
saved offline_trajectories/trajectory_seed_130.npz | steps=50000 | badges=[0 0 0 0 0 0 0 0]
saved offline_trajectories/trajectory_seed_131.npz | steps=11483 | badges=[0 0 0 0 0 0 0 1]
