python main.py --model cql
WARNING: Failed to find CUDA.
step 006050 | loss 1.6113 | bellman 0.0477 | cql 1.5636 | q 1.4908 | target_q 1.5088 | device cuda
step 006100 | loss 2.0133 | bellman 0.2274 | cql 1.7858 | q 1.3141 | target_q 1.5979 | device cuda
step 006150 | loss 1.6886 | bellman 0.0557 | cql 1.6329 | q 1.4706 | target_q 1.5083 | device cuda
step 006200 | loss 1.6931 | bellman 0.0777 | cql 1.6154 | q 1.4642 | target_q 1.3590 | device cuda
step 006250 | loss 1.8115 | bellman 0.0895 | cql 1.7220 | q 1.4268 | target_q 1.4364 | device cuda
step 006300 | loss 1.9434 | bellman 0.2017 | cql 1.7416 | q 1.3020 | target_q 1.4568 | device cuda
step 006350 | loss 1.8694 | bellman 0.1895 | cql 1.6798 | q 1.2235 | target_q 1.4168 | device cuda
step 006400 | loss 1.6655 | bellman 0.1208 | cql 1.5447 | q 1.3054 | target_q 1.3691 | device cuda
step 006450 | loss 1.7920 | bellman 0.0553 | cql 1.7367 | q 1.4027 | target_q 1.4834 | device cuda
step 006500 | loss 1.6064 | bellman 0.0296 | cql 1.5768 | q 1.5541 | target_q 1.5123 | device cuda
step 006550 | loss 1.6109 | bellman 0.0994 | cql 1.5115 | q 1.4617 | target_q 1.5199 | device cuda
step 006600 | loss 1.7917 | bellman 0.2157 | cql 1.5761 | q 1.4373 | target_q 1.5500 | device cuda
step 006650 | loss 1.8273 | bellman 0.2429 | cql 1.5843 | q 1.2037 | target_q 1.4262 | device cuda
step 006700 | loss 1.7270 | bellman 0.0322 | cql 1.6948 | q 1.3262 | target_q 1.3831 | device cuda
step 006750 | loss 1.7811 | bellman 0.0360 | cql 1.7451 | q 1.4308 | target_q 1.3996 | device cuda
step 006800 | loss 1.6350 | bellman 0.0661 | cql 1.5689 | q 1.3750 | target_q 1.3936 | device cuda
step 006850 | loss 1.8398 | bellman 0.0965 | cql 1.7433 | q 1.4480 | target_q 1.4794 | device cuda
step 006900 | loss 1.5860 | bellman 0.0578 | cql 1.5282 | q 1.5301 | target_q 1.4292 | device cuda
step 006950 | loss 1.9015 | bellman 0.1080 | cql 1.7934 | q 1.3640 | target_q 1.4982 | device cuda
step 007000 | loss 1.5923 | bellman 0.0750 | cql 1.5173 | q 1.5206 | target_q 1.5007 | device cuda
step 007050 | loss 1.7582 | bellman 0.0785 | cql 1.6797 | q 1.5744 | target_q 1.6397 | device cuda
step 007100 | loss 1.6968 | bellman 0.1070 | cql 1.5898 | q 1.7404 | target_q 1.7234 | device cuda
step 007150 | loss 1.4727 | bellman 0.0411 | cql 1.4316 | q 1.6206 | target_q 1.6146 | device cuda
step 007200 | loss 1.7460 | bellman 0.1031 | cql 1.6429 | q 1.5668 | target_q 1.6500 | device cuda
step 007250 | loss 1.6346 | bellman 0.0545 | cql 1.5801 | q 1.6671 | target_q 1.6554 | device cuda
step 007300 | loss 1.6074 | bellman 0.0728 | cql 1.5347 | q 1.6335 | target_q 1.5832 | device cuda
step 007350 | loss 1.8758 | bellman 0.1066 | cql 1.7692 | q 1.5340 | target_q 1.6254 | device cuda
step 007400 | loss 1.9302 | bellman 0.0559 | cql 1.8743 | q 1.5869 | target_q 1.6651 | device cuda
step 007450 | loss 1.5954 | bellman 0.0235 | cql 1.5719 | q 1.7046 | target_q 1.6418 | device cuda
step 007500 | loss 1.6960 | bellman 0.0371 | cql 1.6589 | q 1.6335 | target_q 1.5941 | device cuda
step 007550 | loss 1.6629 | bellman 0.1018 | cql 1.5610 | q 1.5860 | target_q 1.6456 | device cuda
step 007600 | loss 1.5411 | bellman 0.0498 | cql 1.4913 | q 1.8118 | target_q 1.7631 | device cuda
step 007650 | loss 1.6248 | bellman 0.0587 | cql 1.5661 | q 1.7277 | target_q 1.7017 | device cuda
step 007700 | loss 1.6958 | bellman 0.0574 | cql 1.6384 | q 1.7306 | target_q 1.6775 | device cuda
step 007750 | loss 1.4663 | bellman 0.0754 | cql 1.3909 | q 1.7586 | target_q 1.6026 | device cuda
step 007800 | loss 1.6302 | bellman 0.0555 | cql 1.5746 | q 1.7209 | target_q 1.7533 | device cuda
